Continent,Name,Event type,Year,when_from,when_until,where_W,where_E,where_S,where_N
NA,USA,drought,1988,1988.03.01,1988.07.31,-160,-50,30,60
NA,USA_SGP_dry,drought,2006,2005.11.01,2006.02.28,-100,-95,32.5,37.5
NA,USA_SGP_flood,flood,2007,2007.03.01,2007.07.31,-100,-95,32.5,37.5
NA,Texas_USA,drought,2011,2011.03.01,2011.03.31,-106.65,-93.51,25.84,36.5
SA,NEB,drought,1992,1993.02.01,1993.05.30,-47,-35,-12,7.5
SA,north_Argentina,drought,1995,1995.07.01,1996.06.30,-75,-56,-40,-24
SA,Amazon_2005,drought,2005,2005.01.01,2005.12.31,-73,-64,-11,-4
SA,Amazon_2010,drought,2010,2010.01.01,2010.12.31,-73,-64,-11,-4
EU,Europe_d,drought,2003,2003.07.01,2003.09.30,-10,35,35,65
EU,Europe_h,heatwave,2003,2003.07.01,2003.09.30,-10,35,35,65
EU,Poland,drought,1992,1992.09.01,1992.09.30,14,24,49,55
EU,RHW,heatwave,2010,2010.06.01,2010.08.30,28.75,60.25,48.25,66.75
AF,Sahel,drought,1984,1984.06.01,1984.09.30,-33.5,-16,14,18
